	end	fragment lengths	included transcripts	inclusion normalized reads	normed reads	position	reads	sample
0	5p	20,21,22,23	489.0	0.21538697327129422	105.32422992966288	-100	6.0	undepleted
1	5p	20,21,22,23	490.5	0.15263816576173891	74.86902030613294	-99	3.0	undepleted
2	5p	20,21,22,23	495.0	0.5493235384144476	271.91515151515154	-98	4.0	undepleted
3	5p	20,21,22,23	499.5	0.24639648035733777	123.07504193849022	-97	5.0	undepleted
4	5p	20,21,22,23	501.0	0.4768883361182919	238.92105639526423	-96	13.0	undepleted
5	5p	20,21,22,23	502.0	0.4555973819271576	228.70988572743312	-95	8.0	undepleted
6	5p	20,21,22,23	504.5	0.09349036515832995	47.16588922237746	-94	4.0	undepleted
7	5p	20,21,22,23	507.5	0.19996522173580586	101.48235003092147	-93	8.0	undepleted
8	5p	20,21,22,23	510.0	0.17319824121859942	88.3311030214857	-92	8.0	undepleted
9	5p	20,21,22,23	512.0	0.16334823650254168	83.63429708930134	-91	8.0	undepleted
10	5p	20,21,22,23	513.5	0.3346537169671206	171.84468366261643	-90	3.0	undepleted
11	5p	20,21,22,23	515.0	0.24276960936684738	125.0263488239264	-89	7.0	undepleted
12	5p	20,21,22,23	518.0	0.06391759023337971	33.10931174089069	-88	3.0	undepleted
13	5p	20,21,22,23	522.5	0.08175837320574163	42.71875	-87	2.0	undepleted
14	5p	20,21,22,23	525.5	0.13448294916072837	70.67078978396276	-86	6.0	undepleted
15	5p	20,21,22,23	526.0	0.14527871757626745	76.41660544511667	-85	3.0	undepleted
16	5p	20,21,22,23	527.5	0.314056617103929	165.66486552232254	-84	7.0	undepleted
17	5p	20,21,22,23	530.0	0.7359034676294527	390.02883784360995	-83	20.0	undepleted
18	5p	20,21,22,23	532.5	0.3114285310842414	165.83569280235855	-82	14.0	undepleted
19	5p	20,21,22,23	536.5	0.4959891222431116	266.09816408342937	-81	11.0	undepleted
20	5p	20,21,22,23	540.0	0.4272687231198862	230.72511048473854	-80	29.0	undepleted
21	5p	20,21,22,23	542.5	0.5608679510340585	304.27086343597676	-79	17.0	undepleted
22	5p	20,21,22,23	545.5	0.24118317982545384	131.56542459478507	-78	6.0	undepleted
23	5p	20,21,22,23	548.5	0.41956825697285444	230.13318894961066	-77	6.0	undepleted
24	5p	20,21,22,23	551.0	0.2601512788678265	143.3433546561724	-76	7.0	undepleted
25	5p	20,21,22,23	553.5	0.5663517609178613	313.4756996680362	-75	13.0	undepleted
26	5p	20,21,22,23	555.0	0.2681565766561466	148.82690004416136	-74	8.0	undepleted
27	5p	20,21,22,23	556.0	0.2793784777506274	155.33443362934884	-73	11.0	undepleted
28	5p	20,21,22,23	557.5	0.20752228450673096	115.69367361250251	-72	4.0	undepleted
29	5p	20,21,22,23	558.5	0.3614119122499002	201.84855299156928	-71	5.0	undepleted
30	5p	20,21,22,23	560.5	0.39057754770689285	218.91871548971343	-70	14.0	undepleted
31	5p	20,21,22,23	563.5	0.11941990110445062	67.29311427235793	-69	5.0	undepleted
32	5p	20,21,22,23	566.5	0.5685519925185684	322.084703761769	-68	19.0	undepleted
33	5p	20,21,22,23	569.0	0.46517549077538856	264.6848542511961	-67	12.0	undepleted
34	5p	20,21,22,23	572.0	0.47559912903467366	272.04270180783334	-66	11.0	undepleted
35	5p	20,21,22,23	575.5	0.12627450219711492	72.67097601443963	-65	7.0	undepleted
36	5p	20,21,22,23	578.5	0.6207689357592737	359.11482933673983	-64	18.0	undepleted
37	5p	20,21,22,23	581.5	0.5397861807510945	313.88566410676145	-63	20.0	undepleted
38	5p	20,21,22,23	583.5	1.0599801791668741	618.4984345438711	-62	14.0	undepleted
39	5p	20,21,22,23	587.0	0.42132385797459754	247.31710463108874	-61	14.0	undepleted
40	5p	20,21,22,23	592.5	0.1322756778151564	78.37333910548017	-60	6.0	undepleted
41	5p	20,21,22,23	595.5	0.4571064167184322	272.2068711558264	-59	13.0	undepleted
42	5p	20,21,22,23	597.0	0.3016381918146602	180.07800051335212	-58	10.0	undepleted
43	5p	20,21,22,23	598.5	0.46152636541025654	276.22352969803853	-57	12.0	undepleted
