tx_id	gene_name	undepleted_1	undepleted_2	ribozero_p	ribozero_p_o	ribozero_p_f	ribozero_p_of	qiagen_fastselect_1	qiagen_fastselect_2	ribopools_1	ribopools_2	ribopools_no_heat_1	ribopools_no_heat_2
ENST00000408979.2	OR2A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000216962.8	PYGB	31.705211984570134	44.57843818472723	46.19088246322391	0.0	25.697692347227218	30.274957160935617	39.50772575572493	43.61624708638318	49.73986921032286	41.55259570891113	40.39878630255743	36.06075737252695
ENST00000274498.8	ARHGAP26	0.0	0.0	0.0	0.0	0.0	0.0	0.7981358738530289	1.030305049284642	0.43631464219581456	1.362380187177414	0.3467706978760295	0.6901580358378363
ENST00000025301.3	AKAP11	59.00692230461664	74.62042913530428	56.51590324912102	81.2031052067431	17.13179489815148	78.71488861843261	62.65366609746277	74.52539856492244	61.084049907414034	75.61210038834648	64.49934980494149	66.08263193147283
ENST00000438911.6	CYHR1	8.807003329047259	5.814578893660074	6.521065759513963	32.48124208269724	0.0	0.0	10.375766360089376	11.676790558559276	13.525753908070252	11.920826637802373	12.310359774599046	11.04252857340538
ENST00000611517.4	TMEM222	52.84201997428355	29.07289446830037	29.888218064439	10.827080694232414	59.96128214353018	42.38494002530987	43.897473061916585	39.1515918728164	43.19514957738564	45.299141223649016	46.12050281751192	42.09964018610802
ENST00000370873.8	PSMA7	290.63110985855957	302.35810247032384	261.92947467381083	297.7447190913914	265.5428209213479	248.25464871967208	300.8972244425919	300.8490743911155	300.6207884729162	315.7316083783657	307.0654529692241	298.32081099090476
ENST00000542353.5	CLEC4C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000294489.10	PDPN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000383738.6	CSPG5	3.5228013316189037	4.8454824113833945	0.0	0.0	0.0	0.0	1.1972038107795433	3.43435016428214	2.6178878531748873	4.4277356083265955	4.508019072388383	3.2782506702297227
ENST00000288014.6	THTPA	2.6421009987141777	2.907289446830037	0.0	0.0	0.0	0.0	2.3944076215590866	1.373740065712856	0.43631464219581456	2.043570280766121	0.8669267446900737	1.89793459855405
ENST00000329021.9	NFAM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3405950467943535	0.0	0.0
ENST00000379238.5	UBAP2	89.83143395628204	79.46591154668768	70.64487906140127	54.13540347116207	68.52717959260592	36.329948593122744	82.60706294378849	78.3031837456328	77.66400631085499	86.51114188576578	76.80970957954052	77.12516050487821
